MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Id,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasW,Heating_Grav,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_SBrkr,BsmtFullBath_1.0,BsmtFullBath_2.0,BsmtFullBath_3.0,BsmtHalfBath_1.0,BsmtHalfBath_2.0,FullBath_1,FullBath_2,FullBath_3,FullBath_4,HalfBath_1,HalfBath_2,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
120,3.0,26.0,5858,2,1,2,1,1.0,4,3,NAmes,3,3,4.0,1,7,5,1999,1999,2,2,9.0,9.0,4,0.0,1471,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1051.0,0.0,354.0,1405.0,1337,0,0,1337,2,1,4,5,7.0,1,2,Attchd,1999.0,3,2.0,511.0,3,3,3,203,68,0,0,0,0,0,6,2010,WD,Normal
160,2.0,21.0,1680,2,1,1,1,1.0,1,3,BrDale,3,3,,4,6,5,1971,1971,2,2,7.0,7.0,2,504.0,1472,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,156.0,0.0,327.0,483.0,483,504,0,987,2,1,3,5,7.0,0,0,Detchd,1971.0,1,1.0,264.0,3,3,3,275,0,0,0,0,0,0,2,2010,COD,Normal
160,2.0,21.0,1680,2,1,1,1,1.0,1,3,BrDale,3,3,,4,5,5,1971,1971,2,2,7.0,7.0,2,492.0,1473,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,300.0,0.0,225.0,525.0,525,567,0,1092,3,1,3,6,7.0,0,0,Detchd,1997.0,1,1.0,320.0,3,3,3,0,0,0,0,0,0,0,3,2010,WD,Normal
160,1.0,24.0,2280,2,1,1,1,1.0,4,3,NPkVill,3,3,,4,6,6,1975,1975,2,2,11.0,,4,0.0,1474,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,514.0,0.0,341.0,855.0,855,601,0,1456,3,1,4,6,7.0,1,3,Attchd,1975.0,1,2.0,440.0,3,3,3,173,0,0,0,0,0,0,6,2010,WD,Normal
120,1.0,24.0,2280,2,1,1,1,1.0,4,3,NPkVill,3,3,,1,7,6,1975,1975,2,2,11.0,,4,0.0,1475,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,836.0,836.0,836,0,0,836,2,1,3,4,7.0,0,0,Attchd,1975.0,1,1.0,308.0,3,3,3,0,30,0,0,0,0,0,6,2010,WD,Normal
60,1.0,102.0,12858,2,1,2,1,1.0,1,3,NridgHt,3,3,1.0,4,9,5,2009,2010,2,2,15.0,15.0,5,162.0,1476,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1590.0,1590.0,1627,707,0,2334,3,1,5,10,7.0,1,4,Attchd,2009.0,3,3.0,751.0,3,3,3,144,133,0,0,0,0,0,1,2010,New,Partial
20,1.0,94.0,12883,2,1,2,1,1.0,2,3,NridgHt,3,3,1.0,1,8,5,2009,2010,2,2,15.0,15.0,5,256.0,1477,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1544.0,1544.0,1544,0,0,1544,3,1,4,7,7.0,0,0,Attchd,2009.0,2,3.0,868.0,3,3,3,0,35,0,0,0,0,0,6,2010,New,Partial
20,1.0,90.0,11520,2,1,1,1,1.0,1,3,NridgHt,6,3,1.0,1,9,5,2005,2005,4,2,15.0,15.0,2,615.0,1478,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,110.0,0.0,1588.0,1698.0,1698,0,0,1698,3,1,5,7,7.0,1,4,Attchd,2005.0,3,3.0,730.0,3,3,3,192,74,0,0,0,0,0,6,2010,WD,Normal
20,1.0,79.0,14122,2,1,2,1,1.0,1,3,NridgHt,3,3,1.0,1,8,5,2005,2006,4,2,6.0,,2,240.0,1479,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28.0,0.0,1794.0,1822.0,1822,0,0,1822,3,1,5,8,7.0,1,4,Attchd,2005.0,2,3.0,678.0,3,3,3,0,119,0,0,0,0,0,2,2010,WD,Normal
20,1.0,110.0,14300,2,1,1,3,1.0,1,2,NridgHt,3,3,1.0,1,9,5,2003,2004,4,2,15.0,15.0,2,1095.0,1480,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1373.0,0.0,1473.0,2846.0,2696,0,0,2696,3,1,5,10,7.0,2,4,Attchd,2003.0,3,3.0,958.0,3,3,3,220,150,0,0,0,0,0,6,2010,WD,Normal
60,1.0,105.0,13650,2,1,1,1,1.0,2,3,NridgHt,3,3,1.0,4,8,5,2002,2002,2,2,15.0,15.0,2,232.0,1481,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,578.0,0.0,1093.0,1671.0,1687,563,0,2250,3,1,4,7,7.0,1,5,Attchd,2002.0,3,3.0,756.0,3,3,3,238,130,0,0,0,0,0,6,2010,WD,Normal
120,1.0,41.0,7132,2,1,2,1,1.0,1,3,NridgHt,3,3,4.0,1,8,5,2006,2006,2,2,15.0,15.0,5,178.0,1482,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,2,1,4,6,7.0,1,4,Attchd,2006.0,2,2.0,484.0,3,3,3,120,49,0,0,0,0,0,4,2010,WD,Normal
20,1.0,100.0,18494,2,1,2,1,1.0,2,3,Gilbert,3,3,1.0,1,6,5,2005,2005,2,2,15.0,15.0,4,0.0,1483,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1324.0,1324.0,1324,0,0,1324,3,1,4,6,7.0,0,0,Attchd,2005.0,3,2.0,430.0,3,3,3,36,23,0,0,0,0,0,1,2010,WD,Normal
120,1.0,43.0,3203,2,1,1,1,1.0,1,3,Blmngtn,3,3,4.0,1,7,5,2006,2006,2,2,15.0,15.0,2,14.0,1484,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,16.0,0.0,1129.0,1145.0,1145,0,0,1145,2,1,4,6,7.0,0,0,Attchd,2006.0,3,2.0,437.0,3,3,3,100,116,0,0,0,0,0,1,2010,WD,Normal
80,1.0,67.0,13300,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,8,7,5,2004,2004,2,2,15.0,15.0,4,0.0,1485,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,326.0,0.0,58.0,384.0,744,630,0,1374,3,1,4,7,7.0,1,4,BuiltIn,2004.0,3,2.0,400.0,3,3,3,100,0,0,0,0,0,0,6,2010,WD,Normal
60,1.0,63.0,8577,2,1,2,1,1.0,1,3,Gilbert,3,3,1.0,4,7,5,2004,2004,2,2,15.0,15.0,4,0.0,1486,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,847.0,847.0,847,886,0,1733,3,1,4,7,7.0,1,4,BuiltIn,2004.0,3,2.0,433.0,3,3,3,144,48,0,0,0,0,0,4,2010,WD,Normal
60,1.0,60.0,17433,2,1,3,1,1.0,3,3,NoRidge,3,3,1.0,4,8,5,1998,1998,4,2,15.0,15.0,2,114.0,1487,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1629.0,1629.0,1645,830,0,2475,4,1,4,7,7.0,1,3,Attchd,1998.0,3,3.0,962.0,3,3,3,23,172,0,0,256,0,0,1,2010,WD,Normal
20,1.0,73.0,8987,2,1,1,1,1.0,1,3,Somerst,3,3,1.0,1,8,5,2005,2006,2,2,15.0,15.0,2,226.0,1488,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1595.0,1595.0,1595,0,0,1595,2,1,4,6,7.0,1,4,Attchd,2005.0,2,3.0,880.0,3,3,3,144,0,0,0,0,0,0,5,2010,WD,Normal
20,4.0,92.0,9215,2,1,1,1,1.0,1,3,Somerst,3,3,1.0,1,7,5,2009,2010,4,2,15.0,15.0,4,0.0,1489,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,2,1,4,4,7.0,0,0,Attchd,2009.0,2,2.0,676.0,3,3,3,0,136,0,0,0,0,0,4,2010,New,Partial
20,4.0,84.0,10440,2,1,1,1,1.0,2,3,Somerst,3,3,1.0,1,6,5,2005,2005,2,2,15.0,15.0,4,0.0,1490,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1414.0,0.0,54.0,1468.0,1468,0,0,1468,2,1,4,6,7.0,1,4,Attchd,2005.0,3,2.0,528.0,3,3,3,0,102,0,0,216,0,0,5,2010,WD,Normal
60,1.0,70.0,11920,2,1,1,1,1.0,1,3,SawyerW,3,3,1.0,4,7,5,2004,2004,2,2,15.0,15.0,2,122.0,1491,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,831.0,831.0,831,828,0,1659,3,1,4,8,7.0,0,0,Attchd,2004.0,2,2.0,484.0,3,3,3,144,68,0,0,0,0,0,4,2010,WD,Normal
30,3.0,70.0,9800,2,1,1,1,1.0,2,3,SawyerW,2,3,1.0,1,5,5,1920,1950,2,2,16.0,16.0,4,0.0,1492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.0,0.0,816.0,816.0,1012,0,0,1012,2,1,3,5,7.0,0,0,Detchd,1920.0,1,1.0,429.0,3,3,3,121,0,80,0,0,0,0,4,2010,WD,Normal
20,1.0,39.0,15410,2,1,2,1,1.0,3,3,Sawyer,8,3,1.0,1,6,6,1974,2002,4,2,11.0,11.0,1,250.0,1493,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,126.0,859.0,223.0,1208.0,1494,0,0,1494,3,1,3,7,7.0,2,2,Attchd,1974.0,3,2.0,461.0,3,3,3,296,0,186,0,0,0,0,4,2010,WD,Abnorml
60,1.0,85.0,13143,2,1,2,1,1.0,1,3,NoRidge,3,3,1.0,4,8,5,1993,1993,2,2,7.0,8.0,2,504.0,1494,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,250.0,981.0,0.0,1231.0,1251,1098,0,2349,4,1,4,9,7.0,1,3,Attchd,1993.0,2,3.0,762.0,3,3,3,32,130,0,0,0,0,0,6,2010,WD,Normal
60,1.0,88.0,11134,2,1,1,1,1.0,1,3,NoRidge,3,3,1.0,4,8,5,1992,1993,2,2,7.0,7.0,2,180.0,1495,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,4,1,4,7,7.0,1,3,Attchd,1992.0,2,3.0,713.0,3,3,3,198,30,0,0,0,0,0,6,2010,WD,Normal
120,4.0,25.0,4835,2,1,2,1,1.0,3,3,Somerst,3,3,4.0,1,7,5,2004,2005,2,2,9.0,9.0,4,0.0,1496,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,2,1,4,6,7.0,1,4,Attchd,2004.0,3,2.0,506.0,3,3,3,168,50,0,0,0,0,0,3,2010,WD,Normal
160,4.0,39.0,3515,2,2,1,1,1.0,1,3,Somerst,3,3,4.0,4,7,5,2004,2004,2,2,15.0,15.0,4,0.0,1497,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,840.0,840.0,840,840,0,1680,2,1,4,3,7.0,0,0,Attchd,2004.0,2,2.0,588.0,3,3,3,0,111,0,0,0,0,0,1,2010,WD,Normal
160,4.0,30.0,3215,2,2,1,1,1.0,1,3,Somerst,3,3,4.0,4,7,5,2004,2004,2,2,9.0,9.0,2,120.0,1498,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,280.0,0.0,320.0,600.0,600,600,0,1200,2,1,4,4,7.0,0,0,Detchd,2004.0,2,2.0,480.0,3,3,3,0,172,0,0,0,0,0,4,2010,ConLD,Normal
160,4.0,24.0,2544,2,2,1,1,1.0,1,3,Somerst,3,3,,4,7,5,2004,2005,2,2,9.0,9.0,4,0.0,1499,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,368.0,42.0,190.0,600.0,600,600,0,1200,2,1,4,4,7.0,0,0,Detchd,2004.0,2,2.0,480.0,3,3,3,0,172,0,0,0,0,0,2,2010,WD,Normal
160,4.0,24.0,2544,2,2,1,1,1.0,1,3,Somerst,3,3,,4,6,5,2005,2005,2,2,15.0,15.0,2,216.0,1500,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,376.0,0.0,224.0,600.0,600,636,0,1236,2,1,4,4,7.0,0,0,Detchd,2005.0,2,2.0,480.0,3,3,3,0,166,0,0,0,0,0,5,2010,WD,Normal
160,4.0,,2980,2,1,1,1,1.0,2,3,Somerst,3,3,4.0,4,6,5,2000,2000,2,2,9.0,9.0,2,1159.0,1501,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,466.0,0.0,290.0,756.0,756,756,0,1512,2,1,4,5,7.0,0,0,Detchd,2000.0,1,2.0,440.0,3,3,3,0,32,0,0,0,0,0,5,2010,WD,Normal
160,4.0,,2403,2,1,2,1,1.0,4,3,Somerst,3,3,4.0,4,7,5,2003,2003,2,2,15.0,15.0,4,0.0,1502,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,244.0,0.0,286.0,530.0,530,550,0,1080,2,1,4,4,7.0,0,0,Attchd,2003.0,2,2.0,496.0,3,3,3,0,50,0,0,0,0,0,6,2010,WD,Normal
20,4.0,57.0,12853,2,2,2,1,1.0,1,3,Somerst,3,3,1.0,1,8,5,2010,2010,2,2,6.0,,4,0.0,1503,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,1,1,4,6,7.0,1,4,Attchd,2010.0,2,3.0,852.0,3,3,3,160,192,0,224,0,0,0,4,2010,New,Partial
