Id_x,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,BsmtFullBath_1,BsmtFullBath_2,BsmtFullBath_3,BsmtHalfBath_1,BsmtHalfBath_2,FullBath_1,FullBath_2,FullBath_3,HalfBath_1,HalfBath_2,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,BsmtFinType2_BLQ,BsmtFinType2_GLQ,BsmtFinType2_LwQ,BsmtFinType2_Rec,BsmtFinType2_Unf,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,1.0,70.0,11200,2,1,1,1,1,1,3,Sawyer,3,3,1.0,1,5,5,1965,1965,4,2,7,7.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,906,0,134,1040,1040,0,0,1040,3,1,3,5,7,0,0,Detchd,1965.0,1,1,384,3,3,3,0,0,0,0,0,0,0,2,2008,WD,Normal,129500
12,60,1.0,85.0,11924,2,1,2,1,1,1,3,NridgHt,3,3,1.0,4,9,5,2005,2006,4,2,17,,5,286.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,998,0,177,1175,1182,1142,0,2324,4,1,5,11,7,2,4,BuiltIn,2005.0,3,3,736,3,3,3,147,21,0,0,0,0,0,7,2006,New,Partial,345000
13,20,1.0,,12968,2,1,3,1,1,1,3,Sawyer,3,3,1.0,1,5,6,1962,1962,4,2,7,11.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,737,0,175,912,912,0,0,912,2,1,3,4,7,0,0,Detchd,1962.0,1,1,352,3,3,3,140,0,0,0,176,0,0,9,2008,WD,Normal,144000
14,20,1.0,91.0,10652,2,1,2,1,1,1,3,CollgCr,3,3,1.0,1,7,5,2006,2007,2,2,15,15.0,5,306.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1494,1494,1494,0,0,1494,3,1,4,7,7,1,4,Attchd,2006.0,2,3,840,3,3,3,160,33,0,0,0,0,0,8,2007,New,Partial,279500
15,20,1.0,,10920,2,1,2,1,1,2,3,NAmes,3,3,1.0,1,6,5,1960,1960,4,2,9,9.0,2,212.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,733,0,520,1253,1253,0,0,1253,2,1,3,5,7,1,2,Attchd,1960.0,2,1,352,3,3,3,0,213,176,0,0,0,0,5,2008,WD,Normal,157000
16,45,2.0,51.0,6120,2,1,1,1,1,2,3,BrkSide,3,3,1.0,3,7,8,1929,2001,2,2,16,16.0,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,832,832,854,0,0,854,2,1,3,5,7,0,0,Detchd,1991.0,1,2,576,3,3,3,48,112,0,0,0,0,0,7,2007,WD,Normal,132000
17,20,1.0,,11241,2,1,2,1,1,3,3,NAmes,3,3,1.0,1,6,7,1970,1970,2,2,16,16.0,2,180.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,578,0,426,1004,1004,0,0,1004,2,1,3,5,7,1,3,Attchd,1970.0,3,2,480,3,3,3,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
18,90,1.0,72.0,10791,2,1,1,1,1,1,3,Sawyer,3,3,,1,4,5,1967,1967,2,2,9,9.0,4,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1296,0,0,1296,2,2,3,6,7,0,0,CarPort,1967.0,1,2,516,3,3,3,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
19,20,1.0,66.0,13695,2,1,1,1,1,1,3,SawyerW,9,3,1.0,1,5,5,2004,2004,2,2,15,15.0,4,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,646,0,468,1114,1114,0,0,1114,3,1,4,6,7,0,0,Detchd,2004.0,1,2,576,3,3,3,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
20,20,1.0,70.0,7560,2,1,1,1,1,1,3,NAmes,3,3,1.0,1,5,6,1958,1965,4,2,4,11.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,504,0,525,1029,1339,0,0,1339,3,1,3,6,6,0,0,Attchd,1958.0,1,1,294,3,3,3,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
21,60,1.0,101.0,14215,2,1,2,1,1,2,3,NridgHt,3,3,1.0,4,8,5,2005,2006,2,2,15,15.0,2,380.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1158,1158,1158,1218,0,2376,4,1,4,9,7,1,4,BuiltIn,2005.0,2,3,853,3,3,3,240,154,0,0,0,0,0,11,2006,New,Partial,325300
22,45,2.0,57.0,7449,2,3,1,2,1,1,3,IDOTRR,3,3,1.0,3,7,7,1930,1950,2,2,16,16.0,4,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,637,637,1108,0,0,1108,3,1,4,6,7,1,4,Attchd,1930.0,1,1,280,3,3,1,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
23,20,1.0,75.0,9742,2,1,1,1,1,1,3,CollgCr,3,3,1.0,1,8,5,2002,2002,4,2,15,15.0,2,281.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1777,1777,1795,0,0,1795,3,1,4,7,7,1,4,Attchd,2002.0,2,2,534,3,3,3,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
24,120,2.0,44.0,4224,2,1,1,1,1,1,3,MeadowV,3,3,4.0,1,5,7,1976,1976,2,2,6,,4,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,840,0,200,1040,1060,0,0,1060,3,1,3,6,7,1,3,Attchd,1976.0,1,2,572,3,3,3,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
25,20,1.0,,8246,2,1,2,1,1,1,3,Sawyer,3,3,1.0,1,5,8,1968,2001,2,2,11,11.0,4,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,188,668,204,1060,1060,0,0,1060,3,1,4,6,7,1,3,Attchd,1968.0,1,1,270,3,3,3,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
26,20,1.0,110.0,14230,2,1,1,1,1,2,3,NridgHt,3,3,1.0,1,8,5,2007,2007,2,2,15,15.0,5,640.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1566,1566,1600,0,0,1600,3,1,4,7,7,1,4,Attchd,2007.0,2,3,890,3,3,3,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
27,20,1.0,60.0,7200,2,1,1,1,1,2,3,NAmes,3,3,1.0,1,5,7,1951,2000,2,2,16,16.0,4,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,234,486,180,900,900,0,0,900,3,1,4,5,7,0,0,Detchd,2005.0,1,2,576,3,3,3,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
28,20,1.0,98.0,11478,2,1,1,1,1,1,3,NridgHt,3,3,1.0,1,8,5,2007,2008,2,2,15,15.0,5,200.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1218,0,486,1704,1704,0,0,1704,3,1,4,7,7,1,4,Attchd,2008.0,2,3,772,3,3,3,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
29,20,1.0,47.0,16321,2,1,2,1,1,3,3,NAmes,3,3,1.0,1,5,6,1957,1997,2,2,9,9.0,4,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1277,0,207,1484,1600,0,0,1600,2,1,3,6,7,2,4,Attchd,1957.0,2,1,319,3,3,3,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
30,30,2.0,60.0,6324,2,1,2,1,1,1,3,BrkSide,2,4,1.0,1,4,6,1927,1950,2,2,9,9.0,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,520,520,520,0,0,520,1,1,2,4,7,0,0,Detchd,1920.0,1,1,240,2,3,3,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
31,70,,50.0,8500,2,2,1,1,1,1,3,IDOTRR,2,3,1.0,4,4,4,1920,1950,3,2,4,4.0,4,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,649,649,649,668,0,1317,3,1,3,6,7,0,0,Detchd,1920.0,1,1,250,3,2,1,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
32,20,1.0,,8544,2,1,2,1,1,3,3,Sawyer,3,3,1.0,1,5,6,1966,2006,2,2,7,7.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1228,1228,1228,0,0,1228,3,1,4,6,7,0,0,Attchd,1966.0,1,1,271,3,3,3,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
33,20,1.0,85.0,11049,2,1,1,1,1,2,3,CollgCr,3,3,1.0,1,8,5,2007,2007,2,2,15,15.0,4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1234,1234,1234,0,0,1234,3,1,4,7,7,0,0,Attchd,2007.0,2,2,484,3,3,3,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
34,20,1.0,70.0,10552,2,1,2,1,1,1,3,NAmes,3,3,1.0,1,5,5,1959,1959,4,2,4,4.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1018,0,380,1398,1700,0,0,1700,4,1,4,6,7,1,4,Attchd,1959.0,2,2,447,3,3,3,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
35,120,1.0,60.0,7313,2,1,1,1,1,1,3,NridgHt,3,3,4.0,1,9,5,2005,2005,4,2,9,9.0,2,246.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1153,0,408,1561,1561,0,0,1561,2,1,5,6,7,1,4,Attchd,2005.0,3,2,556,3,3,3,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
36,60,1.0,108.0,13418,2,1,1,1,1,1,3,NridgHt,3,3,1.0,4,8,5,2004,2005,2,2,15,15.0,5,132.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1117,1117,1132,1320,0,2452,4,1,4,9,7,1,4,BuiltIn,2004.0,3,3,691,3,3,3,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
37,20,1.0,112.0,10859,2,1,1,1,1,2,3,CollgCr,3,3,1.0,1,5,5,1994,1995,2,2,15,15.0,4,0.0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1097,1097,1097,0,0,1097,3,1,3,6,7,0,0,Attchd,1995.0,1,2,672,3,3,3,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
38,20,1.0,74.0,8532,2,1,1,1,1,1,3,NAmes,3,3,1.0,1,5,6,1954,1990,4,2,16,16.0,2,650.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1213,0,84,1297,1297,0,0,1297,3,1,3,5,7,1,3,Attchd,1954.0,3,2,498,3,3,3,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
39,20,1.0,68.0,7922,2,1,1,1,1,1,3,NAmes,3,3,1.0,1,5,7,1953,2007,2,2,15,15.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,731,0,326,1057,1057,0,0,1057,3,1,4,5,7,0,0,Detchd,1953.0,1,1,246,3,3,3,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
40,90,1.0,65.0,6040,2,1,1,1,1,1,3,Edwards,3,3,,1,4,5,1955,1955,2,2,1,11.0,4,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1152,0,0,1152,2,2,2,6,7,0,0,None,1980.0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000
41,20,1.0,84.0,8658,2,1,1,1,1,1,3,NAmes,3,3,1.0,1,6,5,1965,1965,2,2,16,16.0,2,101.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,643,0,445,1088,1324,0,0,1324,3,1,3,6,7,1,3,Attchd,1965.0,2,2,440,3,3,3,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
42,20,1.0,115.0,16905,2,1,1,1,1,1,3,Timber,3,3,1.0,1,5,6,1959,1959,2,2,15,15.0,4,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,967,0,383,1350,1328,0,0,1328,2,1,3,5,7,2,4,Attchd,1959.0,2,1,308,3,3,2,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
43,85,1.0,,9180,2,1,2,1,1,3,3,SawyerW,3,3,1.0,7,5,7,1983,1983,2,2,7,7.0,4,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,747,93,0,840,884,0,0,884,2,1,4,5,7,0,0,Attchd,1983.0,2,2,504,3,4,3,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
44,20,1.0,,9200,2,1,2,1,1,3,3,CollgCr,3,3,1.0,1,5,6,1975,1980,4,2,15,15.0,4,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,280,491,167,938,938,0,0,938,3,1,3,5,7,0,0,Detchd,1977.0,1,1,308,3,3,3,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
45,20,1.0,70.0,7945,2,1,1,1,1,1,3,NAmes,3,3,1.0,1,5,6,1959,1959,2,2,4,16.0,4,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,179,506,465,1150,1150,0,0,1150,3,1,3,6,7,0,0,Attchd,1959.0,2,1,300,3,3,3,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
